,full_name,selling_price,year,seller_type,km_driven,owner_type,fuel_type,transmission_type,mileage,engine,max_power
118,ford ecosport,6.85,2017,Dealer,55000,First Owner,Diesel,Manual,23.0,1498,98.96
119,hyundai verna,3.8,2012,Dealer,65000,First Owner,Diesel,Automatic,19.08,1582,126.32
120,renault kwid,3.3,2018,Individual,22000,First Owner,Petrol,Manual,23.01,999,67.0
121,maruti baleno,6.5,2018,Trustmark Dealer,7671,First Owner,Petrol,Manual,21.01,1197,81.8
122,maruti wagon,3.25,2016,Individual,66000,First Owner,Petrol,Manual,20.51,998,67.04
123,maruti swift,6.4,2018,Dealer,45156,First Owner,Petrol,Automatic,21.21,1197,81.8
124,hyundai venue,9.49,2019,Individual,25000,First Owner,Petrol,Manual,18.27,998,118.35
125,nissan terrano,7.5,2015,Individual,70000,First Owner,Diesel,Manual,20.45,1461,83.8
126,hyundai verna,6.6,2015,Individual,120000,First Owner,Diesel,Manual,23.9,1582,126.2
127,maruti swift,4.35,2014,Dealer,28000,First Owner,Petrol,Manual,16.1,1197,85.0
128,hyundai i20,3.85,2013,Dealer,55000,First Owner,Diesel,Manual,21.9,1396,88.76
129,hyundai santa,10.0,2011,Individual,104000,First Owner,Diesel,Manual,14.66,2199,194.3
130,hyundai verna,12.5,2019,Dealer,14000,First Owner,Diesel,Automatic,22.0,1582,126.2
131,hyundai xcent,5.5,2017,Individual,18000,First Owner,Petrol,Manual,20.14,1197,81.86
132,maruti wagon,1.55,2009,Dealer,98780,First Owner,Petrol,Manual,18.9,998,67.1
133,maruti swift,4.15,2015,Dealer,58000,First Owner,Diesel,Manual,25.2,1248,74.0
134,maruti alto,2.51,2011,Individual,30000,First Owner,Petrol,Manual,20.92,998,67.1
135,mahindra scorpio,11.5,2016,Dealer,46400,First Owner,Diesel,Manual,15.4,2179,120.0
136,hyundai i10,3.1,2014,Trustmark Dealer,32111,First Owner,Petrol,Manual,19.81,1086,68.05
137,datsun go,3.5,2015,Individual,35000,First Owner,Petrol,Manual,19.44,1198,67.0
138,mahindra scorpio,11.25,2017,Dealer,30000,First Owner,Diesel,Manual,15.4,1997,120.0
139,bmw 5,26.0,2016,Dealer,63000,First Owner,Diesel,Automatic,18.59,2993,261.49
140,chevrolet beat,2.0,2017,Individual,43890,First Owner,Petrol,Manual,17.8,1199,76.8
141,datsun go,4.8,2018,Individual,10000,First Owner,Petrol,Manual,20.62,1198,67.0
142,maruti swift,8.5,2017,Individual,25000,First Owner,Diesel,Automatic,28.4,1248,74.02
143,hyundai creta,11.0,2017,Dealer,102000,First Owner,Diesel,Automatic,17.01,1582,126.2
144,maruti swift,5.75,2018,Dealer,35000,First Owner,Petrol,Manual,22.0,1197,81.8
145,maruti swift,3.4,2012,Dealer,49948,First Owner,Petrol,Manual,17.5,1298,85.8
146,tata indigo,5.59,2018,Individual,114851,First Owner,Diesel,Manual,25.0,1396,69.01
147,ford ecosport,9.25,2018,Individual,55000,First Owner,Diesel,Manual,23.0,1498,98.96
148,hyundai grand,4.0,2015,Dealer,36000,First Owner,Petrol,Manual,18.9,1197,82.0
149,hyundai xcent,5.6,2019,Individual,35000,First Owner,Diesel,Manual,25.4,1186,73.97
150,honda city,7.25,2016,Dealer,49625,First Owner,Petrol,Manual,17.8,1497,117.3
151,maruti swift,6.0,2014,Individual,35000,First Owner,Diesel,Manual,23.4,1248,74.0
152,mahindra scorpio,5.5,2013,Individual,95000,First Owner,Diesel,Manual,12.05,2179,120.0
153,ford aspire,5.85,2017,Dealer,36000,First Owner,Diesel,Manual,25.83,1498,99.0
154,maruti wagon,4.11,2019,Individual,50000,First Owner,Petrol,Manual,21.79,998,67.05
155,maruti swift,4.5,2015,Individual,26500,First Owner,Petrol,Manual,20.85,1197,83.14
156,honda crv,12.9,2015,Dealer,80000,First Owner,Petrol,Automatic,13.7,1997,153.86
157,volkswagen polo,4.55,2015,Dealer,46000,First Owner,Petrol,Manual,16.47,1198,74.0
158,hyundai grand,7.1,2019,Individual,9000,First Owner,Petrol,Manual,20.7,1197,81.86
159,mahindra tuv,4.5,2016,Individual,70000,First Owner,Diesel,Manual,18.49,1493,100.0
160,toyota etios,4.65,2015,Dealer,33000,First Owner,Petrol,Manual,17.71,1197,78.9
161,honda city,7.7,2016,Dealer,53000,First Owner,Petrol,Manual,16.8,1497,116.3
162,tata indigo,3.2,2015,Individual,50000,First Owner,Diesel,Manual,19.09,1405,69.01
163,tata indigo,3.25,2015,Individual,50000,First Owner,Diesel,Manual,19.09,1405,69.01
164,ford endeavour,29.0,2018,Individual,11387,First Owner,Diesel,Automatic,10.91,3198,197.0
165,honda amaze,7.2,2018,Individual,50000,First Owner,Diesel,Manual,25.8,1498,98.6
166,mahindra kuv,3.75,2016,Dealer,52000,First Owner,Diesel,Manual,25.32,1198,77.0
167,chevrolet aveo,1.45,2010,Individual,60000,First Owner,Petrol,Manual,14.49,1399,92.7
168,datsun go,4.0,2015,Individual,35000,First Owner,Petrol,Manual,19.44,1198,67.0
169,renault duster,6.0,2015,Individual,48000,First Owner,Diesel,Manual,19.87,1461,83.8
170,honda jazz,6.0,2018,Individual,18000,First Owner,Petrol,Manual,18.7,1199,88.7
171,maruti wagon,2.7,2012,Individual,57413,First Owner,LPG,Manual,10.61,998,61.7
172,hyundai i20,5.0,2015,Individual,30000,First Owner,Petrol,Manual,18.6,1197,81.83
173,hyundai verna,6.5,2015,Dealer,55000,First Owner,Diesel,Manual,23.9,1582,126.2
174,chevrolet sail,3.8,2015,Individual,120000,First Owner,Petrol,Manual,18.2,1199,82.4
175,mitsubishi pajero,7.28,2012,Individual,165000,First Owner,Diesel,Manual,13.5,2477,175.56
176,maruti swift,6.6,2018,Individual,10000,First Owner,Petrol,Automatic,21.21,1197,81.8
177,tata indica,1.8,2010,Individual,120000,First Owner,Diesel,Manual,18.0,1248,75.0
178,bmw 3,20.9,2016,Dealer,68000,First Owner,Diesel,Automatic,22.69,1995,190.0
179,chevrolet beat,2.5,2015,Dealer,55000,First Owner,Diesel,Manual,25.44,936,56.3
180,kia seltos,12.75,2020,Dealer,8000,First Owner,Petrol,Manual,16.8,1497,113.4
181,toyota corolla,4.55,2012,Dealer,80000,First Owner,Petrol,Manual,14.53,1798,138.1
182,maruti swift,4.95,2015,Dealer,65000,First Owner,Diesel,Manual,28.4,1248,74.0
183,maruti ritz,2.2,2010,Individual,47000,First Owner,Petrol,Manual,21.1,1197,85.8
184,maruti scross,8.0,2018,Individual,185000,First Owner,Diesel,Manual,25.1,1248,88.5
185,hyundai santa,12.95,2014,Dealer,68000,First Owner,Diesel,Automatic,13.01,2199,194.3
186,hyundai grand,4.75,2016,Individual,25000,First Owner,Petrol,Manual,18.9,1197,82.0
187,tata sumo,3.8,2014,Individual,280000,First Owner,Diesel,Manual,15.3,2956,83.83
188,maruti scross,9.0,2018,Individual,7791,First Owner,Diesel,Manual,25.1,1248,88.5
189,maruti ciaz,5.3,2015,Individual,70000,First Owner,Petrol,Manual,20.73,1373,91.1
190,tata tiago,5.3,2016,Individual,9500,First Owner,Petrol,Manual,23.84,1199,84.0
191,hyundai verna,6.5,2015,Individual,9100,First Owner,Petrol,Manual,17.01,1591,121.3
192,honda new,4.95,2010,Dealer,82000,First Owner,Petrol,Manual,12.8,2354,177.6
193,honda city,3.35,2010,Dealer,86000,First Owner,Petrol,Manual,17.0,1497,118.0
194,audi q5,46.75,2020,Dealer,19000,First Owner,Diesel,Automatic,17.01,1968,188.0
195,audi a4,12.9,2013,Dealer,78000,First Owner,Diesel,Automatic,16.55,1968,147.51
196,ford figo,3.0,2011,Individual,60000,First Owner,Diesel,Manual,20.0,1399,68.0
197,maruti wagon,5.5,2019,Trustmark Dealer,7883,First Owner,Petrol,Automatic,21.5,1197,81.8
198,maruti swift,3.9,2013,Trustmark Dealer,50205,First Owner,Diesel,Manual,23.4,1248,74.0
199,mahindra bolero,2.6,2008,Individual,220000,First Owner,Diesel,Manual,13.6,2523,63.0
200,tata tigor,3.95,2017,Dealer,58000,First Owner,Diesel,Manual,24.7,1047,69.0
201,mahindra scorpio,5.5,2012,Individual,170000,First Owner,Diesel,Manual,12.05,2179,120.0
202,maruti swift,6.5,2018,Individual,15000,First Owner,Petrol,Manual,22.0,1197,81.8
203,maruti swift,3.75,2016,Dealer,71245,First Owner,Diesel,Manual,28.4,1248,74.0
204,tata manza,3.0,2012,Individual,20000,First Owner,Diesel,Manual,21.12,1248,88.8
205,toyota etios,4.5,2016,Dealer,52000,First Owner,Petrol,Manual,16.78,1496,88.73
206,honda brio,3.35,2015,Individual,61000,First Owner,Petrol,Manual,19.4,1198,86.8
207,kia seltos,13.0,2019,Individual,7000,First Owner,Petrol,Manual,16.1,1353,138.0
208,maruti alto,3.6,2018,Individual,20000,First Owner,Petrol,Manual,23.95,998,67.05
209,maruti celerio,5.05,2020,Individual,8700,First Owner,Petrol,Manual,21.63,998,67.04
210,maruti alto,3.1,2019,Individual,25000,First Owner,Petrol,Manual,24.7,796,47.3
211,hyundai i20,5.45,2015,Dealer,42000,First Owner,Petrol,Manual,18.6,1197,81.86
212,mahindra xylo,3.0,2009,Individual,120000,First Owner,Diesel,Manual,14.0,2498,112.0
213,chevrolet aveo,2.0,2009,Individual,60000,First Owner,Petrol,Manual,14.4,1399,94.0
214,mahindra bolero,1.5,2006,Individual,120000,First Owner,Diesel,Manual,13.6,2523,63.0
215,maruti baleno,5.8,2018,Individual,50000,First Owner,Petrol,Manual,21.4,1197,83.1
216,maruti wagon,2.5,2011,Individual,58000,First Owner,Petrol,Manual,18.9,998,67.1
217,hyundai verna,6.5,2017,Individual,36000,First Owner,Petrol,Manual,17.43,1396,105.5
218,maruti sx4,8.0,2016,Individual,80000,First Owner,Diesel,Manual,23.65,1248,88.5
219,audi q3,14.75,2013,Dealer,71000,First Owner,Diesel,Automatic,15.73,1968,174.33
220,maruti ertiga,4.1,2018,Individual,30000,First Owner,Diesel,Manual,25.47,1248,88.5
221,ford ecosport,5.31,2015,Dealer,162828,First Owner,Diesel,Manual,22.77,1498,98.59
222,ford ecosport,8.9,2018,Individual,7500,First Owner,Diesel,Manual,23.0,1498,98.96
223,tata safari,7.75,2016,Dealer,47227,First Owner,Diesel,Manual,14.0,2179,138.1
224,maruti wagon,4.35,2018,Dealer,52000,First Owner,CNG,Manual,24.72,998,67.04
225,ford figo,1.85,2012,Dealer,74000,First Owner,Diesel,Manual,20.0,1399,68.05
226,mahindra bolero,4.4,2011,Dealer,47000,First Owner,Diesel,Manual,15.96,2523,62.1
227,hyundai i20,4.5,2015,Individual,50000,First Owner,Petrol,Manual,18.6,1197,81.83
228,maruti baleno,6.0,2017,Individual,100000,First Owner,Petrol,Manual,21.4,1197,83.1
229,maruti celerio,3.2,2014,Individual,35000,First Owner,Petrol,Manual,23.1,998,67.04
230,hyundai i20,7.0,2016,Individual,50000,First Owner,Diesel,Manual,21.19,1396,88.73
231,ford aspire,6.3,2018,Individual,10000,First Owner,Petrol,Manual,18.16,1196,86.8
232,maruti alto,3.2,2016,Individual,10370,First Owner,Petrol,Manual,22.74,796,47.3
233,honda city,4.65,2013,Dealer,62000,First Owner,Petrol,Manual,16.8,1497,116.3
234,tata manza,2.75,2011,Individual,70000,First Owner,Diesel,Manual,21.12,1248,88.8
235,nissan sunny,3.7,2013,Individual,250000,First Owner,Diesel,Manual,21.64,1461,84.8
236,hyundai i20,5.5,2016,Individual,40000,First Owner,Petrol,Manual,18.6,1197,81.83
237,maruti swift,4.45,2017,Individual,60000,First Owner,Petrol,Manual,22.0,1197,81.8
238,tata safari,7.05,2013,Dealer,67231,First Owner,Diesel,Manual,14.0,2179,138.1
239,maruti wagon,2.7,2013,Dealer,64000,First Owner,CNG,Manual,24.72,998,67.04
240,nissan micra,4.2,2012,Dealer,142587,First Owner,Diesel,Manual,23.08,1461,63.1
241,honda city,4.75,2014,Dealer,63000,First Owner,Diesel,Manual,26.0,1498,98.6
242,toyota fortuner,17.55,2015,Individual,80000,First Owner,Diesel,Manual,12.55,2982,168.5
243,honda city,3.5,2011,Dealer,55000,First Owner,Petrol,Manual,16.9,1497,100.0
244,hyundai i20,5.75,2016,Dealer,11000,First Owner,Petrol,Manual,18.6,1197,81.83
245,toyota etios,4.66,2016,Dealer,66000,First Owner,Diesel,Manual,23.59,1364,67.06
246,renault kwid,3.6,2017,Individual,17000,First Owner,Petrol,Manual,23.01,999,67.0
247,maruti alto,2.75,2017,Individual,25000,First Owner,Petrol,Manual,24.7,796,47.3
248,datsun go,3.2,2016,Individual,33350,First Owner,Petrol,Manual,19.44,1198,67.0
249,maruti omni,0.95,2000,Individual,45000,First Owner,Petrol,Manual,14.0,796,35.0
250,hyundai grand,3.7,2015,Dealer,62000,First Owner,Petrol,Manual,18.9,1197,82.0
251,honda brio,2.5,2013,Individual,30000,First Owner,Petrol,Manual,19.4,1198,86.8
252,maruti swift,2.75,2009,Individual,59000,First Owner,Petrol,Manual,17.5,1298,85.8
253,mercedesbenz gla,19.5,2015,Dealer,20000,First Owner,Petrol,Automatic,12.33,1991,375.48
254,honda city,5.5,2014,Dealer,86113,First Owner,Petrol,Manual,17.4,1497,117.3
255,toyota corolla,13.25,2016,Dealer,45000,First Owner,Diesel,Manual,21.43,1364,87.2
256,maruti swift,7.5,2018,Individual,10000,First Owner,Diesel,Manual,28.4,1248,74.02
257,nissan micra,2.9,2011,Dealer,70000,First Owner,Petrol,Manual,18.06,1198,75.0
258,maruti wagon,2.72,2015,Individual,92537,First Owner,Petrol,Manual,20.51,998,67.04
259,maruti ciaz,9.51,2019,Dealer,27645,First Owner,Diesel,Manual,28.09,1248,88.5
260,maruti alto,2.8,2013,Individual,46242,First Owner,Petrol,Manual,20.92,998,67.1
261,renault kwid,4.5,2020,Individual,6000,First Owner,Petrol,Manual,22.3,799,53.26
262,hyundai i20,4.8,2017,Dealer,64000,First Owner,Petrol,Manual,18.6,1197,81.83
263,mahindra scorpio,10.6,2017,Dealer,93000,First Owner,Diesel,Manual,15.4,1997,120.0
264,maruti alto,2.35,2013,Dealer,26200,First Owner,Petrol,Manual,22.74,796,47.3
265,maruti baleno,5.9,2017,Individual,25000,First Owner,Petrol,Manual,21.4,1197,83.1
266,mahindra tuv,7.5,2017,Individual,80000,First Owner,Diesel,Manual,18.49,1493,100.0
267,toyota fortuner,29.5,2018,Dealer,50000,First Owner,Diesel,Automatic,12.9,2755,174.5
268,hyundai santro,1.1,2008,Individual,80000,First Owner,Petrol,Manual,17.92,1086,62.1
269,mahindra scorpio,2.8,2007,Individual,110000,First Owner,Diesel,Manual,13.5,2179,115.0
270,audi a4,18.51,2016,Dealer,55000,First Owner,Petrol,Automatic,17.84,1395,147.51
271,honda city,7.5,2018,Individual,25000,First Owner,Petrol,Manual,17.4,1497,117.3
272,hyundai grand,4.0,2015,Dealer,36000,First Owner,Petrol,Manual,18.9,1197,81.86
273,maruti swift,5.3,2015,Individual,40000,First Owner,Diesel,Manual,26.59,1248,74.0
274,mahindra thar,8.7,2018,Individual,25000,First Owner,Diesel,Manual,16.55,2498,105.0
275,renault kwid,2.95,2018,Dealer,30038,First Owner,Petrol,Manual,25.17,799,53.3
276,tata tiago,3.7,2017,Individual,53000,First Owner,Diesel,Manual,27.28,1047,69.0
277,maruti swift,5.3,2018,Individual,5000,First Owner,Petrol,Manual,21.21,1197,81.8
278,hyundai xcent,6.0,2014,Individual,41217,First Owner,Diesel,Manual,24.4,1120,71.0
279,renault kwid,3.5,2017,Individual,35000,First Owner,Petrol,Automatic,24.04,999,67.0
280,ford ecosport,4.7,2013,Dealer,62000,First Owner,Diesel,Manual,22.7,1498,89.84
281,ford aspire,3.9,2015,Individual,42000,First Owner,Diesel,Manual,25.83,1498,99.0
282,ambassador avigo,1.16,2005,Individual,120000,First Owner,Diesel,Manual,13.2,1995,56.0
283,mahindra scorpio,9.2,2015,Individual,80000,First Owner,Diesel,Manual,15.4,2179,120.0
284,mahindra xuv500,5.5,2013,Individual,60000,First Owner,Diesel,Manual,15.1,2179,140.0
285,hyundai verna,6.35,2014,Individual,45000,First Owner,Diesel,Manual,22.32,1582,126.32
286,mahindra xuv500,12.5,2017,Dealer,50000,First Owner,Diesel,Automatic,16.0,2179,140.0
287,maruti alto,3.0,2018,Individual,12000,First Owner,Petrol,Manual,24.7,796,47.3
288,honda city,9.6,2018,Individual,12000,First Owner,Petrol,Automatic,18.0,1497,117.6
